HOUSEID,WTHHFIN,HHVEHCNT,HHFAMINC,INCOME_LOW,INCOME_MID,INCOME_HIGH,WRKCOUNT,DRVRCNT,HOMEOWN,URBRUR,URSIZE,HHR_AGE,HHR_SEX,HHR_EDUC,HTRESDN,GSCOST,GSTOTCST,zero,logsum1,logsum2_old,logsum2,logsum3,logsum4,const,HTRESDN,HTRESDN_1000,HTRESDN_INCOME_LOW,HTRESDN_INCOME_MID,HTRESDN_INCOME_HIGH,BESTMILE,MILE_10K,GSYRGAL,GSCOST,GSTOTCST,COST_PER_MILE,MEAN_COST_10,MEAN_COST
20727921,2945.102179,0,6,6,0,0,1,0,0,1,5,61,1,4,30000,0,0,0,6.724779982,18.96191181,17.63625186,18.92272564,30.42945806,1,30000,30,30,0,0,0,0,0,0,0,0,0,0
21142642,93.46193902,0,2,2,0,0,0,1,1,1,6,40,0,3,1500,0,0,0,6.525646672,18.76772424,17.58487989,17.03074818,30.10018419,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
23714249,12711.15773,0,1,1,0,0,0,0,0,1,1,61,0,1,7000,0,0,0,6.258795953,18.54504739,17.33368465,18.55124921,28.45569497,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
24322324,511.0811669,0,4,4,0,0,0,1,0,1,5,58,1,3,7000,0,0,0,6.4070938,18.11617642,16.97768922,18.94206491,29.57996382,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
24503365,2056.357477,0,4,4,0,0,1,1,0,1,5,34,0,5,3000,0,0,0,6.373751208,18.70203776,17.52352624,18.0346429,29.82792591,1,3000,3,3,0,0,0,0,0,0,0,0,0,0
24913973,203.1399439,0,1,1,0,0,0,0,0,1,1,54,0,3,1500,0,0,0,6.406087129,19.53762868,18.24515653,17.94775985,29.18215928,1,1500,1.5,1.5,0,0,0,0,0,0,0,0,0,0
25473933,1576.211182,0,18,0,0,18,2,2,1,1,5,64,0,5,7000,0,0,0,6.52484372,20.23996282,19.02522152,23.57520276,32.05675946,1,7000,7,0,0,7,0,0,0,0,0,0,0,0
25548091,193.9702427,0,4,4,0,0,0,0,1,1,5,84,0,4,7000,0,0,0,5.796304397,18.18175409,16.98832438,17.97462597,29.42720779,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
25615498,166.4286917,0,3,3,0,0,0,0,1,1,5,50,0,1,7000,0,0,0,5.949339705,19.37617215,18.42358276,19.84238188,29.26182879,1,7000,7,7,0,0,0,0,0,0,0,0,0,0
26233778,59.4225068,0,1,1,0,0,0,0,1,1,1,52,1,2,750,0,0,0,6.607088945,18.79955689,17.6710795,18.88491148,30.2976008,1,750,0.75,0.75,0,0,0,0,0,0,0,0,0,0
